,eng,deu
1427,You owe me.,Du schuldest mir was!
1428,They stopped.,Sie hielten an.
1429,Try some.,Probier mal.
1430,Is that real?,Ist das echt?
1431,She is happy.,Sie ist glücklich.
1432,They gave up.,Die gaben auf.
1433,She is old.,Sie ist alt.
1434,I enjoy life.,Ich habe Freude am Leben.
1435,Did you vote?,Haben Sie gewählt?
1436,Examine it.,Untersuchen Sie es.
1437,I'm tired.,Ich bin müde!
1438,It's no joke.,Das ist kein Scherz.
1439,Tom forgot.,Tom vergaß es.
1440,Let Tom go.,Lasst Tom los!
1441,You called?,Hast du angerufen?
1442,It's locked.,Er ist abgeschlossen.
1443,See you.,Wir sehen uns.
1444,Can we go?,Können wir gehen?
1445,Try this on.,Probier das an!
1446,I know them.,Ich kenne sie.
1447,Tom is tall.,Tom ist groß.
1448,Who ran?,Wer ist gerannt?
1449,I'm game.,Ich bin dabei.
1450,I miss you.,Ich vermisse dich.
1451,I survived.,Ich habe überlebt.
1452,Be ruthless.,Sei gnadenlos!
1453,Look at this.,Schau dir das an.
1454,I have a map.,Ich habe eine Landkarte.
1455,Do you bowl?,Kegeln Sie?
1456,I won!,Ich habe gewonnen!
1457,I read books.,Ich lese Bücher.
1458,Tom can help.,Tom kann helfen.
1459,I'm drunk.,Ich bin betrunken.
1460,I need water.,Ich brauche Wasser.
1461,You've won!,Ihr habt gewonnen!
1462,What is that?,Was ist das für ein Ding?
1463,Leave us.,Gehen Sie weg.
1464,Who bit you?,Wer hat dich gebissen?
1465,Quit whining.,Hör auf zu jammern!
1466,Get real!,Jetzt mal ernsthaft!
1467,Tom smoked.,Tom hat geraucht.
1468,I'm for it.,Ich bin dafür.
1469,I love life.,Ich liebe das Leben.
1470,It's not new.,Es ist nicht neu.
1471,Tom's angry.,Tom ist verärgert.
1472,Tom belched.,Tom rülpste.
1473,I like dogs.,Ich mag Hunde.
1474,Get lost!,Pack dich!
1475,You keep it.,Den kannst du ruhig behalten.
1476,I must obey.,Ich muss gehorchen.
1477,See you then.,Bis dann!
1478,Leave Tom.,Verlasse Tom.
1479,Let Tom come.,Lassen Sie Tom kommen.
1480,It's working.,Es funktioniert.
1481,Surprise me.,Überrascht mich.
1482,Forgive Tom.,Vergeben Sie Tom!
1483,I need a hug.,Ich brauche eine Umarmung.
1484,Tom finished.,Tom wurde fertig.
1485,Let me think.,Lasst mich nachdenken.
1486,Can it wait?,Kann das noch warten?
1487,Stand up!,Stehe auf!
1488,Tom is messy.,Tom ist unordentlich.
1489,Come here.,Komm hierher.
1490,Don't talk!,Sag nichts!
1491,He came.,Er kam.
1492,Speak louder.,Sprich lauter!
1493,We're sorry.,Es tut uns leid.
1494,Did Tom come?,Ist Tom gekommen?
1495,Tom drives.,Tom fährt Auto.
1496,Tom knew it.,Tom kannte sie.
1497,I made tea.,Ich habe Tee gemacht.
1498,Come help me.,Komm und hilf mir!
1499,We're afraid.,Wir haben Angst.
1500,I'm inside.,Ich bin drinnen.
1501,Come with me.,Kommt mit.
1502,Don't yell.,Schrei nicht!
1503,I'll cancel.,Ich werde absagen.
1504,Who's he?,Wer ist er?
1505,Don't forget.,Vergessen Sie es nicht!
1506,Smell this.,Riech mal.
1507,He is lying.,Er lügt.
1508,Let's try!,Lass es uns versuchen!
1509,Is Tom well?,Geht es Tom gut?
1510,I'll be fine.,Ich komm schon klar.
1511,That's right.,So ist es.
1512,Be objective.,Seien Sie objektiv.
1513,I apologized.,Ich entschuldigte mich.
1514,Humor me.,Tun Sie mir den Gefallen.
1515,Can we sing?,Können wir singen?
1516,Tom's so old.,Tom ist so alt!
1517,Who saw me?,Wer sah mich?
1518,Go away!,Scher dich fort!
1519,Taste this.,Schmeck das.
1520,Tom gets it.,Tom versteht das.
1521,Easy does it.,Immer sachte.
1522,It's late.,Es ist spät.
1523,Get away!,Mach ’ne Fliege!
1524,Come again.,Kommen Sie wieder.
1525,Tom objected.,Tom hatte etwas einzuwenden.
1526,Eat with us.,Esst mit uns.
1527,I'm a DJ.,Ich bin DJ.
1528,Who's absent?,Wer ist nicht anwesend?
1529,I hope so.,Das hoffe ich.
1530,Take cover!,Geh in Deckung!
1531,Tom is vain.,Tom ist eingebildet.
1532,You can rest.,Ihr könnt euch ausruhen.
1533,Tom hurt me.,Tom hat mir wehgetan.
1534,Be brave.,Sei tapfer!
1535,Tom died.,Tom starb.
1536,I'm worn out.,Ich bin völlig erschöpft.
1537,Tom's wasted.,Tom ist fertig.
1538,Who's sick?,Wer ist krank?
1539,Am I fat?,Bin ich dick?
1540,I know this.,Ich weiß das.
1541,He smiled.,Er lächelte.
1542,I live here.,Ich wohne hier.
1543,We lost it.,Wir haben sie verloren.
1544,Goodnight.,Gute Nacht.
1545,I had fun.,Ich hatte Spaß.
1546,I'm not sure.,Ich bin nicht sicher.
1547,Don't sing.,Sing nicht.
1548,You're back.,Ihr seid zurück.
1549,Drive safely.,Fahren Sie vorsichtig.
1550,That's right!,Das stimmt!
1551,I'm in a jam.,Ich stecke in einem Stau.
1552,Turn around.,Dreh dich um.
1553,Tom's happy.,Tom ist glücklich.
1554,Tom was mad.,Tom war außer sich.
1555,Of course!,Selbstverständlich!
1556,Wait.,Warte.
1557,Is it bad?,Ist es schlimm?
1558,I'll call.,Ich werde anrufen.
1559,What's this?,Was ist das hier?
1560,Marry me.,Heirate mich.
1561,They're fake.,Sie sind gefälscht.
1562,I cursed.,Ich habe geflucht.
1563,Can you swim?,Kannst du schwimmen?
1564,Someone sang.,Irgendwer hat gesungen.
1565,Hug Tom.,Umarmt Tom!
1566,I burp a lot.,Ich rülpse viel.
1567,I'm full.,Ich bin satt.
1568,Do I look OK?,Seh ich okay aus?
1569,I was angry.,Ich war wütend.
1570,How barbaric!,Wie barbarisch!
1571,Beat it.,Mach dich fort!
1572,Tom is cruel.,Tom ist brutal.
1573,I'm very fat.,Ich bin sehr dick.
1574,Tom's safe.,Tom ist in Sicherheit.
1575,Start here.,Beginne hier.
1576,I'm doing OK.,Mir geht es einigermaßen gut.
1577,Can you come?,Können Sie kommen?
1578,Tom knew.,Tom hat es gewusst.
1579,I love you.,Ich liebe dich.
1580,I can't eat.,Ich kann nicht essen.
1581,We sat down.,Wir setzten uns.
1582,Talk to Tom.,Sprich mit Tom!
1583,Use them all.,Benutzt sie alle.
1584,We lost it.,Wir haben es verloren.
1585,Chill out.,Entspann dich.
1586,We apologize.,Es tut uns leid.
1587,Be brief.,Fasst euch kurz.
1588,Let's go now.,Lass uns jetzt gehen!
1589,Tom stood up.,Tom stand auf.
1590,He's cruel.,Er ist grausam.
1591,I prayed.,Ich betete.
1592,Stop talking.,Halt’s Maul!
1593,Be nice.,Seien Sie nett!
1594,Tom'll lose.,Tom wird verlieren.
1595,Go away!,Geh weg!
1596,Go on board.,Gehe an Bord!
1597,Did Tom mind?,Hatte Tom etwas einzuwenden?
1598,Really?,Echt?
1599,Tom has OCD.,Tom leidet an einer Zwangserkrankung.
1600,Who's there?,Wer ist da?
1601,How is life?,"Wie geht's, wie steht's?"
1602,We're happy.,Wir sind glücklich.
1603,Can you walk?,Kannst du gehen?
1604,Go find out.,Gehen Sie und finden Sie es heraus.
1605,It's for us.,Es ist für uns.
1606,We're fine.,Uns geht es gut.
1607,They voted.,Sie haben gewählt.
1608,Please hurry!,Beeilt euch bitte!
1609,I can't say.,Das kann ich nicht sagen.
1610,Hi.,Hallo!
1611,You woke me.,Du hast mich geweckt.
1612,Why thank me?,Warum dankst du mir?
1613,We're here.,Wir sind da.
1614,Kill them.,Töten Sie sie!
1615,Please relax.,Enspannt euch bitte.
1616,Now I'm sad.,Jetzt bin ich traurig.
1617,They need me.,Sie brauchen mich.
1618,Tom's mad.,Tom ist wütend.
1619,I'm drowning.,Ich bin dabei zu ertrinken.
1620,We tried.,Wir versuchten es.
1621,Replace it.,Tauschen Sie es aus.
1622,Cut that out!,Hör auf!
1623,Tom is down.,Tom ist deprimiert.
1624,Let Tom stay.,Lass Tom bleiben.
1625,Can you talk?,Kannst du reden?
1626,It happens.,Das passiert!
1627,I'm busy now.,Ich bin gerade beschäftigt.
1628,I cried.,Ich habe geweint.
1629,I miss it.,Es fehlt mir.
1630,I heard it.,Ich habe es gehört.
1631,I hate sushi.,Ich hasse Sushi.
1632,Be prepared.,Seid gewappnet!
1633,There it is.,Da ist es.
1634,Tom felt bad.,Tom fühlte sich schlecht.
1635,Don't ask me.,Frag mich nicht.
1636,I must hurry.,Ich muss mich sputen.
1637,Is it free?,Ist es kostenlos?
1638,Go away.,Zieh Leine!
1639,Tom was gone.,Tom war verschwunden.
1640,Now I get it.,Jetzt hab ich es verstanden.
1641,Who is there?,Wer ist da?
1642,Hold tight.,Halt dich fest.
1643,Anyone hurt?,Ist jemand verletzt?
1644,Stop it.,Hör auf.
1645,I spit.,Ich spuckte.
1646,I won't lose!,Ich werde nicht verlieren!
1647,Tom knits.,Tom strickt.
1648,Help Tom.,Helft Tom!
1649,Watch us.,Beobachten Sie uns.
1650,I am right.,Ich habe Recht.
1651,You know her.,Du kennst sie.
1652,Is that mine?,Ist das meins?
1653,I'm the law.,Ich bin das Gesetz.
1654,Sit tight.,Harre aus!
1655,Were you bit?,Wurdest du gebissen?
1656,Tom saw you.,Tom sah dich.
1657,Wait in here.,Warte hier drin!
1658,That tickles.,Das kitzelt.
1659,Drop the gun.,Lass die Waffe fallen!
1660,They cheat.,Sie betrügen.
1661,Tom's free.,Tom ist frei.
1662,Don't jump!,Spring nicht!
1663,Tom chuckled.,Tom gluckste.
1664,I am coming.,Ich komme sofort.
1665,Stand still.,Steht still!
1666,He got angry.,Er wurde wütend.
1667,Speak up!,Sprich lauter!
1668,No one cares.,Niemanden interessiert’s.
1669,Tom is home.,Tom ist zu Hause.
1670,Get lost!,Mach die Sause!
1671,Is Tom big?,Ist Tom groß?
1672,I need a map.,Ich benötige eine Karte.
1673,What is it?,Was gibt es?
1674,Tom will die.,Tom wird sterben.
1675,Get away!,Verkrümele dich!
1676,I was dizzy.,Mir war schwindlig.
1677,I adore you.,Ich bete dich an.
1678,Jump over it.,Spring drüber!
1679,She's busy.,Sie ist beschäftigt.
1680,Take mine.,Nehmen Sie meinen.
1681,We tried.,Wir haben es versucht.
1682,She came.,Sie kam.
1683,Tom's not in.,Tom ist nicht hier.
1684,School's out.,Die Schule ist vorbei.
1685,I'll go see.,Ich werde nachsehen.
1686,Tom is OK.,Tom ist in Ordnung.
1687,He dozed off.,Er schlief ein.
1688,Unbelievable!,Unglaublich!
1689,Tom answered.,Tom antwortete.
1690,Get a life.,Hast du nichts anderes zu tun?
1691,Tom helped.,Tom hat geholfen.
1692,I see Tom.,Ich sehe Tom.
1693,I slipped.,Ich rutschte aus.
1694,It was black.,Er war schwarz.
1695,Tom stayed.,Tom ist geblieben.
1696,Tom's strong.,Tom ist stark.
1697,Who stayed?,Wer ist geblieben?
1698,Who's first?,Wer ist die Nummer eins?
1699,I'll do that.,Ich werde das machen.
1700,You hurt him.,Du hast ihm weh getan.
1701,Anybody home?,Ist jemand zu Hause?
1702,I'm hungry!,Ich bin hungrig!
1703,I hear you.,Ich höre dich.
1704,Please hurry.,Bitte beeilt euch.
1705,Tom knows me.,Tom kennt mich.
1706,No way!,Unmöglich!
1707,Ignore it.,Beachte es gar nicht!
1708,I like snow.,Ich mag Schnee.
1709,I hid.,Ich versteckte mich.
1710,Come forward.,Tretet vor.
1711,Stop trying.,Probieren Sie es nicht länger.
1712,Tom hated it.,Tom hasste das.
1713,Is Tom out?,Ist Tom draußen?
1714,Use caution.,Gehe vorsichtig zu Werke!
1715,We'll hurry.,Wir werden uns beeilen.
1716,Of course!,Aber sicher doch!
1717,She's mine.,Sie gehört mir.
1718,Where is it?,Wo ist sie?
1719,Stop smiling.,Hört auf zu lächeln!
1720,We eat early.,Wir essen früh.
1721,Tom swore.,Tom fluchte.
1722,It's too hot.,Sie ist zu heiß.
1723,There it is!,Da ist es ja!
1724,It's 7:45.,Es ist sieben Uhr fünfundvierzig.
1725,Who saw what?,Wer sah was?
1726,I am a nurse.,Ich bin Krankenschwester.
1727,Tom is a spy.,Tom ist ein Spion.
1728,Happy Easter!,Fröhliche Ostern!
1729,Take us home.,Bring uns nach Hause.
1730,May I go?,Darf ich gehen?
1731,Tom is sharp.,Tom ist pfiffig.
1732,I fainted.,Ich fiel in Ohnmacht.
1733,I need ice.,Ich brauche Eis.
1734,I'm free now.,Ich habe jetzt Zeit.
1735,Tom stutters.,Tom stottert.
1736,I'm humming.,Ich summe gerade.
1737,Tom relaxed.,Tom entspannte sich.
1738,Don't panic.,Keine Panik.
1739,Tom is bald.,Tom ist kahl.
1740,Tom's famous.,Tom ist berühmt.
1741,It's okay.,Es ist in Ordnung.
1742,Help Tom out.,Unterstütze Tom!
1743,Step back.,Tritt zurück!
1744,I'm in debt.,Ich habe Schulden.
1745,I want time.,Ich will Zeit.
1746,Let me go!,Lass mich gehen!
1747,I love trips.,Ich liebe Reisen.
1748,Tom's silent.,Tom ist still.
1749,Humor Tom.,Lass Tom doch seinen Willen.
1750,I've changed.,Ich habe mich verändert.
1751,Grab that.,Nimm das.
1752,Head east.,Fahren Sie Richtung Osten.
1753,Are you busy?,Habt ihr zu tun?
1754,I like this.,Ich mag das.
1755,I am taller.,Ich bin größer.
1756,Give me that.,Gib mir das.
1757,I'm tall.,Ich bin groß.
1758,I hid.,Ich habe mich versteckt.
1759,Say goodbye.,Sagt „Auf Wiedersehen!“!
1760,It's 7:45.,Es ist 7:45 Uhr.
1761,I was tired.,Ich war müde.
1762,Keep away.,Bleibt weg.
1763,I hate beans.,Ich hasse Bohnen.
1764,I felt naked.,Ich fühlte mich nackt.
1765,How curious!,Wie seltsam!
1766,I seldom cry.,Ich weine selten.
1767,Can Tom cook?,Kann Tom kochen?
1768,Don't rush.,Nur nicht so eilig.
1769,It works.,Es funktioniert.
1770,She was busy.,Sie war beschäftigt.
1771,Tom is slim.,Tom ist schlank.
1772,Can I help?,Kann ich mich nützlich machen?
1773,Tell me.,Sag es mir.
1774,Repeat it.,Wiederholt es!
1775,Come closer.,Kommt näher.
1776,Come to us.,Komm zu uns.
1777,I need glue.,Ich brauche Kleber.
1778,Trust me.,Vertraue mir.
1779,I love tea.,Ich liebe Tee.
1780,Seize him!,Fassen Sie ihn!
1781,I'm a client.,Ich bin eine Kundin.
1782,Come with us.,Komm mit uns.
1783,Watch us.,Schaut uns zu.
1784,How dare you!,Wie kannst du es wagen!
1785,I'm jealous.,Ich bin eifersüchtig.
1786,How clever!,Wie klug!
1787,Sign this.,Unterschreiben Sie das.
1788,Get ready.,Mach dich fertig.
1789,I talk fast.,Ich spreche schnell.
1790,Tom exhaled.,Tom atmete aus.
1791,I'm bald.,Ich habe eine Glatze.
1792,I play piano.,Ich spiele Klavier.
1793,I hate liars.,Ich kann Lügner nicht leiden.
1794,I can't sing.,Ich kann nicht singen.
1795,Get down!,In Deckung!
1796,Break it up!,Teile es auf!
1797,They relaxed.,Sie entspannten sich.
1798,I made these.,Ich habe diese gemacht.
1799,Quiet down.,Beruhigen Sie sich.
1800,She is young.,Sie ist jung.
1801,I'm sleepy!,Ich bin müde!
1802,Destroy it.,Mach es kaputt.
1803,Who yelled?,Wer schrie?
1804,Wash up.,Wasch dir das Gesicht.
1805,I'm single.,Ich bin single.
1806,Anyone home?,Jemand zuhause?
1807,We agree.,Wir stimmen zu.
1808,Anybody hurt?,Ist jemand verletzt?
1809,I saw a UFO.,Ich sah ein UFO.
1810,Don't smile.,Lach nicht.
1811,Take command.,Übernehmen Sie das Kommando.
1812,I stammered.,Ich stammelte.
1813,Now I'm mad.,Jetzt bin ich wütend.
1814,I paused.,Ich hielt an.
1815,Is it foggy?,Ist es neblig?
1816,Take over.,Übernehmen Sie.
1817,I'm expected.,Ich werde erwartet.
1818,Tom grumbled.,Tom schimpfte.
1819,Tom lied.,Tom log.
1820,Stay with us.,Bleib bei uns.
1821,I'm a lawyer.,Ich bin Anwalt.
1822,Tom was dead.,Tom wäre tot.
1823,I'll decide.,Ich werde entscheiden.
1824,Tom was dead.,Tom war tot.
1825,Get away!,Scher dich weg!
1826,Answer Tom.,Antwortet Tom!
1827,Start here.,Fangen Sie hier an.
1828,Come at once.,Kommt sofort hierher!
1829,Is this art?,Ist das Kunst?
1830,It's at home.,Es ist zu Hause.
1831,That's cool.,Das ist cool.
1832,Scoot over.,Rutsch mal.
1833,They may go.,Die dürfen gehen.
1834,It was dark.,Es war dunkel.
1835,I saved you.,Ich habe Sie gerettet.
1836,Eat with us.,Essen Sie mit uns.
1837,Why is that?,Wie kommt das?
1838,I need help.,Ich brauche Hilfe.
1839,Who is next?,Wer ist als nächster an der Reihe?
1840,I'm a friend.,Ich bin ein Freund.
1841,Fire burns.,Feuer brennt.
1842,I live alone.,Ich lebe allein.
1843,Were you bit?,Bist du gebissen worden?
1844,They're boys.,Sie sind Jungs.
1845,Come get me.,Fang mich doch!
1846,Try harder.,Streng dich mehr an.
1847,Tom is silly.,Tom ist albern.
1848,It's bulky.,Es ist sperrig.
1849,How boring!,Wie langweilig!
1850,They are big.,Sie sind groß.
1851,Go find out.,Geh und finde es heraus.
1852,I recovered.,Ich habe mich erholt.
1853,Try it again.,Probier es noch mal.
1854,I can't fly.,Ich kann nicht fliegen.
1855,This is food.,Dies ist Essen.
1856,Was it good?,War es gut?
1857,We saw it.,Wir haben es gesehen.
1858,I'll be back.,Ich komme wieder.
1859,Of course!,Na klar!
1860,I stopped.,Ich hörte auf.
1861,Tom tripped.,Tom ist gestolpert.
1862,Sing along.,Sing mit!
1863,Bring him in.,Bringe ihn herein.
1864,Attack!,Attacke!
1865,I'm fair.,Ich bin gerecht.
1866,It's work.,Das ist meine Arbeit.
1867,Is it enough?,Reicht das?
1868,Are you up?,Bist du auf?
1869,Don't yell.,Schreien Sie nicht!
1870,I loved you.,Ich habe dich geliebt.
1871,Cheers!,Zum Wohl!
1872,Please go.,Bitte geh.
1873,What's next?,Was kommt als Nächstes?
1874,Put it on.,Zieh sie dir an.
1875,I'll be nice.,Ich werde freundlich sein.
1876,Is Tom drunk?,Ist Tom betrunken?
1877,I hope not.,Ich hoffe nicht.
1878,Anything new?,Gibt es etwas Neues?
1879,Is Tom hot?,Ist Tom zu heiß?
1880,Eat up.,Iss auf.
1881,I want you.,Ich will dich.
1882,I will learn.,Ich werde es lernen.
1883,Go away.,Troll dich!
1884,Hurry home.,Gehen Sie schnell nach Hause.
1885,Start again.,Beginnen Sie noch einmal.
1886,He was naive.,Er war zu treuherzig.
1887,Tom's guilty.,Tom ist schuldig.
1888,I'm not mean.,Ich bin nicht gemein.
1889,Let's split.,Teilen wir uns auf!
1890,Tom told him.,Tom erzählte es ihm.
1891,I'm so happy.,Ich bin so glücklich.
1892,Let me see.,Lassen Sie mich mal sehen.
1893,Forget Tom.,Vergiss Tom.
1894,I canceled.,Ich habe abgesagt.
1895,We saw you.,Wir haben dich gesehen.
1896,Warn Tom.,Warne Tom.
1897,Let's see it.,Zeigt’s mal her.
1898,We'll start.,Wir fangen an.
1899,Are you shy?,Bist du schüchtern?
1900,It's cool.,Es ist kühl.
1901,I'm bleeding.,Ich blute.
1902,I promise.,Ich verspreche es.
1903,Go away.,Geh weg!
1904,Hi.,Grüß Gott!
1905,I blame Tom.,Ich gebe Tom die Schuld.
1906,Who hit you?,Wer hat Sie geschlagen?
1907,Do as I say.,"Tu, was ich sage!"
1908,I'm obese.,Ich bin fett.
1909,Put it down.,Legen Sie es hin!
1910,I'll buy it.,Ich kaufe es.
1911,Here you are.,Bitte schön!
1912,It's clear.,Es ist klar.
1913,This'll do.,Das wird genügen.
1914,Watch this.,Guck mal.
1915,Take mine.,Nimm meins.
1916,Tom was fast.,Tom war schnell.
1917,I'm ruined.,Ich bin ruiniert.
1918,Put it down.,Leg es hin!
1919,I can't talk.,Ich kann nicht sprechen.
1920,Tom is right.,Tom hat Recht.
1921,Hop in.,Spring rein!
1922,Tom drives.,Tom fährt.
1923,Was it fun?,Hat es Spaß gemacht?
1924,I hate bugs.,Ich hasse Insekten.
1925,I'm trapped.,Ich bin gefangen.
1926,Take a bath.,Geh baden!
1927,Is that fair?,Ist das gerecht?
1928,It's a plant.,Das ist eine Pflanze.
1929,I'm a man.,Ich bin ein Mann.
1930,Tom will pay.,Tom wird bezahlen.
1931,We're saved.,Wir sind gerettet.
1932,Can you help?,Kannst du helfen?
1933,I envy Tom.,Ich beneide Tom.
1934,Hand it over.,Händige es aus!
1935,We're biased.,Wir haben Vorurteile.
1936,It's 3:30.,Es ist halb vier.
1937,I love pizza.,Ich esse sehr gerne Pizza.
1938,It's stuck.,Es steckt fest.
1939,It's clean.,Sie ist sauber.
1940,I mean it.,Ich meine es ernst.
1941,It is foggy.,Es ist Nebel.
1942,Tom may sing.,Tom möge singen.
1943,I can't see.,Ich kann nicht sehen!
1944,Tom'll die.,Tom wird sterben.
1945,Tom is up.,Tom ist auf.
1946,Stop!,Stopp!
1947,He kicked it.,Er hat es getreten.
1948,He made it.,Er schaffte es.
1949,Call me back.,Ruf mich zurück!
1950,I remember.,Ich erinnere mich.
1951,I'd do it.,Ich würde es tun.
1952,My jaw hurts.,Mir tut der Kiefer weh.
1953,I'm innocent.,Ich bin unschuldig.
1954,I have water.,Ich habe Wasser.
1955,Did it work?,Hat es funktioniert?
1956,Make it stop.,"Mach, dass es aufhört!"
1957,Why quit now?,Warum jetzt aufgeben?
1958,Hold my bag.,Halt mal meine Tasche.
1959,Who cheered?,Wer hat gejubelt?
1960,Look here.,Schau hier.
1961,Come at once.,Kommen Sie sofort hierher!
1962,I found them.,Ich habe sie gefunden.
1963,How deep?,Wie tief?
1964,It's boring.,Das ist langweilig.
1965,We need this.,Wir brauchen das.
1966,Tom replied.,Thomas hat geantwortet.
1967,Head east.,Fahrt Richtung Osten.
1968,I shaved.,Ich rasierte mich.
1969,Wake up.,Wachen Sie auf!
1970,We'll decide.,Wir werden entscheiden.
1971,Go away!,Verdufte!
1972,Take it down.,Nimm es runter.
1973,Be creative.,Sei kreativ!
1974,Play it cool.,Nehmt es gelassen.
1975,Wonderful!,Herrlich!
1976,Does it show?,Merkt man es?
1977,Be sensible.,Seien Sie vernünftig!
1978,It's Monday.,Es ist Montag.
1979,Stop yelling!,Hör auf zu schreien!
1980,Get away!,Geh weg!
1981,I was stoned.,Ich war breit.
1982,Tom is upset.,Tom ist bestürzt.
1983,Tom is wise.,Tom ist weise.
1984,Perfect!,Perfekt!
1985,I want that.,Ich will das.
1986,Don't move.,Nicht bewegen!
1987,Think hard.,Denkt scharf nach!
1988,Don't eat it.,Iss das nicht!
1989,Shut up!,Halt’s Maul!
1990,He's a DJ.,Er ist Plattenaufleger.
1991,I got mad.,Ich wurde böse.
1992,Keep it.,Behalten Sie es!
1993,Be still.,Sei ruhig.
1994,I'm ugly.,Ich bin hässlich.
1995,Ask for Tom.,Frag nach Tom.
1996,Lie still.,Lieg still und beweg dich nicht.
1997,I need a car.,Ich brauche ein Auto.
1998,I'll live.,Ich werde leben.
1999,Tom did this.,Tom hat das getan.
2000,We all die.,Wir alle sterben.
2001,Tom is loyal.,Tom ist treu.
2002,Do you smoke?,Rauchen Sie?
2003,Get off me.,Lass mich in Ruhe.
2004,I'm speaking.,Ich spreche gerade.
2005,Tom gasped.,Tom japste.
2006,I knew it.,Ich wusste es.
2007,Lie low.,Leg dich hin!
2008,I work here.,Ich arbeite hier.
2009,Tom came.,Tom kam.
2010,Why is this?,Woran liegt das?
2011,I fear so.,"Ich fürchte, ja."
2012,Be brave.,Sei mutig!
2013,I improvised.,Ich improvisierte.
2014,Tom is full.,Tom ist satt.
2015,We failed.,Wir sind gescheitert.
2016,I miss you.,Ich vermisse euch.
2017,Who built it?,Wer hat es erbaut?
2018,Go on.,Mach weiter.
2019,Who's dying?,Wer liegt im Sterben?
2020,She is kind.,Sie ist liebenswürdig.
2021,Did you sing?,Hast du gesungen?
2022,Keep calm.,Bleib ruhig.
2023,Tom was sad.,Tom war traurig.
2024,I can come.,Ich kann kommen.
2025,He denied it.,Er stritt es ab.
2026,I'm stuffed!,Ich bin pappsatt.
2027,He helps her.,Er hilft ihr.
2028,Eat it.,Iss es.
2029,Get lost!,Verpiss dich!
2030,It is a book.,Es ist ein Buch.
2031,Goodbye!,Tschüss!
2032,Tom watched.,Thomas schaute zu.
2033,Tom may die.,Tom könnte sterben.
2034,Are you 18?,Bist du 18?
2035,They burned.,Sie sind verbrannt.
2036,Tom followed.,Tom kam hinterher.
2037,Unlock it.,Schließ es auf.
2038,How are you?,Wie geht es dir?
2039,Let me talk.,Lass mich sprechen.
2040,I can't draw.,Ich kann nicht zeichnen.
2041,Who saw you?,Wer sah euch?
2042,Am I dying?,Sterbe ich?
2043,Keep walking.,Geh weiter.
2044,Please hurry.,Bitte beeilen Sie sich.
2045,Aim. Fire!,Zielen. Feuer!
2046,What is this?,Was ist das für ein Ding?
2047,I said yes.,Ich sagte ja.
2048,How rude!,Wie unhöflich!
2049,Tom'll quit.,Tom wird aussteigen.
2050,Kill them.,Tötet sie!
2051,I want cash.,Ich will Bares.
2052,We want meat.,Wir wollen Fleisch.
2053,What is this?,Was ist das hier?
2054,It's my job.,Das ist meine Arbeit.
2055,I'm reliable.,Ich bin zuverlässig.
2056,I can run.,Ich kann rennen.
2057,I'm a spy.,Ich bin Spion.
2058,I'm eating.,Ich esse gerade.
2059,We succeeded!,Wir haben es geschafft!
2060,Tom is cold.,Tom ist kalt.
2061,Fold it.,Falte es zusammen!
2062,He dumped me.,Er hat mit mir Schluss gemacht.
2063,Can I eat?,Kann ich essen?
2064,Find Tom.,Finden Sie Tom.
2065,He tried.,Er hat es versucht.
2066,Take command.,Übernimm das Kommando.
2067,What a shame!,Was für eine Schande!
2068,I often read.,Ich lese oft.
2069,Tom is new.,Tom ist neu.
2070,How rude!,Wie unverschämt!
2071,Hold this.,Halten Sie das!
2072,Stop them.,Stopp sie.
2073,I'm no angel.,Ich bin kein Engel.
2074,Are you hurt?,Hast du dir wehgetan?
2075,Got it!,Aha!
2076,Is Tom ill?,Ist Tom krank?
2077,Was that Tom?,War das Tom?
2078,He's dieting.,Er macht eine Diät.
2079,I don't know.,Ich weiß es nicht.
2080,You can't go.,Ihr könnt nicht gehen.
2081,Trust Tom.,Vertraue Tom!
2082,I'm injured.,Ich bin verletzt.
2083,He is eating.,Er speist.
2084,Check that.,Prüfe das nach!
2085,I've lost it.,Ich spinne.
2086,Tom was hot.,Tom war scharf.
2087,I want kids.,Ich will Kinder.
2088,I'm a hero.,Ich bin ein Held.
2089,That hurts.,Das tut weh.
2090,We know them.,Wir kennen sie.
2091,Is this mine?,Ist das meines?
2092,Tom failed.,Tom hat versagt.
2093,Fix this.,Reparieren Sie das.
2094,I drove.,Ich bin gefahren!
2095,How romantic!,Wie romantisch!
2096,Hold still.,Halten Sie still!
2097,Stop!,Anhalten!
2098,I'm coming.,Ich bin gleich da.
2099,He's a bigot.,Er ist ein religiöser Eiferer.
2100,I'm a hunter.,Ich bin Jäger.
2101,That's weird.,Das ist seltsam.
2102,Tom saw you.,Tom hat dich gesehen.
2103,They saw me.,Sie sahen mich.
2104,We are sick.,Wir sind krank.
2105,We live here.,Wir leben hier.
2106,I have cash.,Ich habe Bargeld.
2107,Ignore them.,Ignoriert sie.
2108,Tom grinned.,Tom grinste.
2109,Be fair.,Sei nicht ungerecht!
2110,Give me half.,Geben Sie mir die Hälfte.
2111,I pity you.,Du tust mir leid.
2112,Go away.,Pack dich!
2113,Beat it.,Hau ab!
2114,Learn French.,Lernen Sie Französisch!
2115,Has Tom quit?,Hat Tom aufgehört?
2116,You look fat.,Du siehst dick aus.
2117,Please hurry.,Beeilt euch bitte!
2118,Is Monday OK?,Ist Montag in Ordnung?
